,D3FEND Tactic,D3FEND Technique,,D3FEND Technique Level 1,D3FEND Technique Level 2,Definition
,Application Hardening
,,Exception Handler Pointer Validation,Validates that a referenced exception handler pointer is a valid exception handler.
,,Process Code Segment Verification,Comparing the "text" or "code" memory segments to a source of truth.
,,Process Segment Execution Prevention,Preventing execution of any address in a memory region other than the code segment.
,,Segment Address Offset Randomization,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
,,Stack Frame Canary Verification,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
,,Dead Code Elimination,Removing unreachable or "dead code" from compiled source code.
,Credential Hardening
,,Certificate Pinning,Persisting either a server’s X509 certificate or their public key and comparing that to server’s presented identity to allow for greater client confidence in the remote server’s identity for SSL connections.
,,Multi-factor Authentication,Requiring proof of two or more pieces of evidence in order to authenticate a user.
,,One-time Password,A one-time password is valid for only one user authentication.
,,Strong Password Policy,Modifying system configuration to increase password strength.
,Platform Hardening
,,Disk Encryption,Encrypting a hard disk partition to prevent cleartext access to a file system.
,,Driver Load Integrity Checking,Ensuring the integrity of drivers loaded during initialization of the operating system.
,,File Signature Authentication,Using a digital signature to authenticate a file before opening.
,,RF Shielding,Adding physical barriers to a platform to prevent undesired radio interference.
,,TPM Boot Integrity,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.  Sometimes called Static Root of Trust Measurement (STRM).
,Message Hardening
,,Message Authentication,Authenticating the sender of a message and ensuring message integrity.
,,Message Encryption,Encrypting a message body using asymmetric or symmetric cryptography.
,,Transfer Agent Authentication,Validating that server components of a messaging infrastructure are authorized to send a particular message.
,Network Traffic Analysis
,,Administrative Network Activity Analysis,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
,,Certificate Analysis
,,,Active Certificate Analysis,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
,,,Passive Certificate Analysis,Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.
,,Client-server Payload Profiling,Comparing client-server request and response payloads to a baseline profile to identify outliers.
,,Denial Of Service Detection,Analyzing network traffic to determine potential denial of service (DoS) attacks.
,,DNS Traffic Analysis
,,File Carving,Extracting files from network application protocols through the use of network stream reassembly software.
,,IPC Traffic Analysis,Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
,,Network Scan Detection,Detecting network reconnaissance scans in a computer network environment.
,,Network Traffic Community Deviation,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
,,Per Host Download-Upload Ratio Analysis,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
,,Protocol Metadata Anomaly Detection,Collecting network communication protocol metadata and identifying statistical outliers.
,,Relay Network Detection,The detection of an internal host relaying traffic between the internal network and the external network.
,,Remote Terminal Session Detection,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
,,RPC Traffic Analysis,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
,,Shellcode Transmission Detection,Detecting shellcode contained in network traffic.
,User Behavior Analysis
